Unnamed: 0,match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
0,Pakistan Vs England,Pakistan,1,Mohammad Rizwan†,15,14,0,1,107.14,out,T20I # 1879
1,Pakistan Vs England,Pakistan,3,Babar Azam(c),32,28,2,0,114.28,out,T20I # 1879
2,Pakistan Vs England,Pakistan,5,Mohammad Haris,8,12,1,0,66.66,out,T20I # 1879
3,Pakistan Vs England,Pakistan,7,Shan Masood,38,28,2,1,135.71,out,T20I # 1879
4,Pakistan Vs England,Pakistan,9,Iftikhar Ahmed,0,6,0,0,0.00,out,T20I # 1879
5,Pakistan Vs England,Pakistan,11,Shadab Khan,20,14,2,0,142.85,out,T20I # 1879
6,Pakistan Vs England,Pakistan,13,Mohammad Nawaz,5,7,0,0,71.42,out,T20I # 1879
7,Pakistan Vs England,Pakistan,15,Mohammad Wasim,4,8,0,0,50.00,out,T20I # 1879
8,Pakistan Vs England,Pakistan,17,Shaheen Shah Afridi,5,3,1,0,166.66,out,T20I # 1879
9,Pakistan Vs England,Pakistan,18,Haris Rauf,1,1,0,0,100.00,out,T20I # 1879
10,Pakistan Vs England,England,1,Jos Buttler(c)†,26,17,3,1,152.94,out,T20I # 1879
11,Pakistan Vs England,England,3,Alex Hales,1,2,0,0,50.00,out,T20I # 1879
12,Pakistan Vs England,England,5,Phil Salt,10,9,2,0,111.11,out,T20I # 1879
13,Pakistan Vs England,England,7,Ben Stokes,52,49,5,1,106.12,out,T20I # 1879
14,Pakistan Vs England,England,8,Harry Brook,20,23,1,0,86.95,out,T20I # 1879
15,Pakistan Vs England,England,10,Moeen Ali,19,13,3,0,146.15,out,T20I # 1879
16,Pakistan Vs England,England,12,Liam Livingstone,1,1,0,0,100.00,out,T20I # 1879
17,India Vs England,India,1,KL Rahul,5,5,1,0,100.00,out,T20I # 1878
18,India Vs England,India,3,Rohit Sharma(c),27,28,4,0,96.42,out,T20I # 1878
19,India Vs England,India,5,Virat Kohli,50,40,4,1,125.00,out,T20I # 1878
20,India Vs England,India,7,Suryakumar Yadav,14,10,1,1,140.00,out,T20I # 1878
21,India Vs England,India,9,Hardik Pandya,63,33,4,5,190.90,out,T20I # 1878
22,India Vs England,India,11,Rishabh Pant†,6,4,1,0,150.00,out,T20I # 1878
23,India Vs England,India,13,Ravichandran Ashwin,0,0,0,0,-,out,T20I # 1878
24,India Vs England,England,1,Jos Buttler(c)†,80,49,9,3,163.26,out,T20I # 1878
25,India Vs England,England,2,Alex Hales,86,47,4,7,182.97,out,T20I # 1878
26,New Zealand Vs Pakistan,New Zealand,1,Finn Allen,4,3,1,0,133.33,out,T20I # 1877
27,New Zealand Vs Pakistan,New Zealand,3,Devon Conway†,21,20,3,0,105.00,out,T20I # 1877
28,New Zealand Vs Pakistan,New Zealand,5,Kane Williamson(c),46,42,1,1,109.52,out,T20I # 1877
29,New Zealand Vs Pakistan,New Zealand,7,Glenn Phillips,6,8,1,0,75.00,out,T20I # 1877
30,New Zealand Vs Pakistan,New Zealand,9,Daryl Mitchell,53,35,3,1,151.42,out,T20I # 1877
31,New Zealand Vs Pakistan,New Zealand,10,James Neesham,16,12,1,0,133.33,out,T20I # 1877
32,New Zealand Vs Pakistan,Pakistan,1,Mohammad Rizwan†,57,43,5,0,132.55,out,T20I # 1877
33,New Zealand Vs Pakistan,Pakistan,3,Babar Azam(c),53,42,7,0,126.19,out,T20I # 1877
34,New Zealand Vs Pakistan,Pakistan,5,Mohammad Haris,30,26,2,1,115.38,out,T20I # 1877
35,New Zealand Vs Pakistan,Pakistan,7,Shan Masood,3,4,0,0,75.00,out,T20I # 1877
36,New Zealand Vs Pakistan,Pakistan,8,Iftikhar Ahmed,0,0,0,0,-,out,T20I # 1877
37,India Vs Zimbabwe,India,1,KL Rahul,51,35,3,3,145.71,out,T20I # 1873
38,India Vs Zimbabwe,India,3,Rohit Sharma(c),15,13,2,0,115.38,out,T20I # 1873
39,India Vs Zimbabwe,India,5,Virat Kohli,26,25,2,0,104.00,out,T20I # 1873
40,India Vs Zimbabwe,India,7,Suryakumar Yadav,61,25,6,4,244.00,out,T20I # 1873
41,India Vs Zimbabwe,India,8,Rishabh Pant†,3,5,0,0,60.00,out,T20I # 1873
42,India Vs Zimbabwe,India,10,Hardik Pandya,18,18,2,0,100.00,out,T20I # 1873
43,India Vs Zimbabwe,India,12,Axar Patel,0,0,0,0,-,out,T20I # 1873
44,India Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,0,1,0,0,0.00,out,T20I # 1873
45,India Vs Zimbabwe,Zimbabwe,3,Craig Ervine(c),13,15,2,0,86.66,out,T20I # 1873
46,India Vs Zimbabwe,Zimbabwe,5,Regis Chakabva†,0,6,0,0,0.00,out,T20I # 1873
47,India Vs Zimbabwe,Zimbabwe,7,Sean Williams,11,18,0,1,61.11,out,T20I # 1873
48,India Vs Zimbabwe,Zimbabwe,9,Sikandar Raza,34,24,3,0,141.66,out,T20I # 1873
49,India Vs Zimbabwe,Zimbabwe,11,Tony Munyonga,5,4,1,0,125.00,out,T20I # 1873
50,India Vs Zimbabwe,Zimbabwe,13,Ryan Burl,35,22,5,1,159.09,out,T20I # 1873
51,India Vs Zimbabwe,Zimbabwe,15,Wellington Masakadza,1,7,0,0,14.28,out,T20I # 1873
52,India Vs Zimbabwe,Zimbabwe,17,Richard Ngarava,1,2,0,0,50.00,out,T20I # 1873
