name,team,link
Mohammad Rizwan†,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389
Babar Azam(c),Pakistan,https://www.espncricinfo.com/cricketers/babar-azam-348144
Mohammad Haris,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-haris-1205559
Shan Masood,Pakistan,https://www.espncricinfo.com/cricketers/shan-masood-233901
Iftikhar Ahmed,Pakistan,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603
Shadab Khan,Pakistan,https://www.espncricinfo.com/cricketers/shadab-khan-922943
Mohammad Nawaz,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148
Mohammad Wasim,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538
Shaheen Shah Afridi,Pakistan,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470
Haris Rauf,Pakistan,https://www.espncricinfo.com/cricketers/haris-rauf-1161606
Jos Buttler(c)†,England,https://www.espncricinfo.com/cricketers/jos-buttler-308967
Alex Hales,England,https://www.espncricinfo.com/cricketers/alex-hales-249866
Phil Salt,England,https://www.espncricinfo.com/cricketers/phil-salt-669365
Ben Stokes,England,https://www.espncricinfo.com/cricketers/ben-stokes-311158
Harry Brook,England,https://www.espncricinfo.com/cricketers/harry-brook-911707
Moeen Ali,England,https://www.espncricinfo.com/cricketers/moeen-ali-8917
Liam Livingstone,England,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
Ben Stokes,England,https://www.espncricinfo.com/cricketers/ben-stokes-311158
Chris Woakes,England,https://www.espncricinfo.com/cricketers/chris-woakes-247235
Sam Curran,England,https://www.espncricinfo.com/cricketers/sam-curran-662973
Adil Rashid,England,https://www.espncricinfo.com/cricketers/adil-rashid-244497
Chris Jordan,England,https://www.espncricinfo.com/cricketers/chris-jordan-288992
Liam Livingstone,England,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
Shaheen Shah Afridi,Pakistan,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470
Naseem Shah,Pakistan,https://www.espncricinfo.com/cricketers/naseem-shah-1158088
Haris Rauf,Pakistan,https://www.espncricinfo.com/cricketers/haris-rauf-1161606
Shadab Khan,Pakistan,https://www.espncricinfo.com/cricketers/shadab-khan-922943
Mohammad Wasim,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538
Iftikhar Ahmed,Pakistan,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603
KL Rahul,India,https://www.espncricinfo.com/cricketers/kl-rahul-422108
Rohit Sharma(c),India,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
Virat Kohli,India,https://www.espncricinfo.com/cricketers/virat-kohli-253802
Suryakumar Yadav,India,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
Hardik Pandya,India,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
Rishabh Pant†,India,https://www.espncricinfo.com/cricketers/rishabh-pant-931581
Ravichandran Ashwin,India,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
Jos Buttler(c)†,England,https://www.espncricinfo.com/cricketers/jos-buttler-308967
Alex Hales,England,https://www.espncricinfo.com/cricketers/alex-hales-249866
Ben Stokes,England,https://www.espncricinfo.com/cricketers/ben-stokes-311158
Chris Woakes,England,https://www.espncricinfo.com/cricketers/chris-woakes-247235
Sam Curran,England,https://www.espncricinfo.com/cricketers/sam-curran-662973
Adil Rashid,England,https://www.espncricinfo.com/cricketers/adil-rashid-244497
Liam Livingstone,England,https://www.espncricinfo.com/cricketers/liam-livingstone-403902
Chris Jordan,England,https://www.espncricinfo.com/cricketers/chris-jordan-288992
Bhuvneshwar Kumar,India,https://www.espncricinfo.com/cricketers/bhuvneshwar-kumar-326016
Arshdeep Singh,India,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976
Axar Patel,India,https://www.espncricinfo.com/cricketers/axar-patel-554691
Mohammed Shami,India,https://www.espncricinfo.com/cricketers/mohammed-shami-481896
Ravichandran Ashwin,India,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
Hardik Pandya,India,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
Finn Allen,New Zealand,https://www.espncricinfo.com/cricketers/finn-allen-959759
Devon Conway†,New Zealand,https://www.espncricinfo.com/cricketers/devon-conway-379140
Kane Williamson(c),New Zealand,https://www.espncricinfo.com/cricketers/kane-williamson-277906
Glenn Phillips,New Zealand,https://www.espncricinfo.com/cricketers/glenn-phillips-823509
Daryl Mitchell,New Zealand,https://www.espncricinfo.com/cricketers/daryl-mitchell-381743
James Neesham,New Zealand,https://www.espncricinfo.com/cricketers/james-neesham-355269
Mohammad Rizwan†,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389
Babar Azam(c),Pakistan,https://www.espncricinfo.com/cricketers/babar-azam-348144
Mohammad Haris,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-haris-1205559
Shan Masood,Pakistan,https://www.espncricinfo.com/cricketers/shan-masood-233901
Iftikhar Ahmed,Pakistan,https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603
Shaheen Shah Afridi,Pakistan,https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470
Naseem Shah,Pakistan,https://www.espncricinfo.com/cricketers/naseem-shah-1158088
Haris Rauf,Pakistan,https://www.espncricinfo.com/cricketers/haris-rauf-1161606
Mohammad Wasim,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538
Shadab Khan,Pakistan,https://www.espncricinfo.com/cricketers/shadab-khan-922943
Mohammad Nawaz,Pakistan,https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148
Trent Boult,New Zealand,https://www.espncricinfo.com/cricketers/trent-boult-277912
Tim Southee,New Zealand,https://www.espncricinfo.com/cricketers/tim-southee-232364
Lockie Ferguson,New Zealand,https://www.espncricinfo.com/cricketers/lockie-ferguson-493773
Mitchell Santner,New Zealand,https://www.espncricinfo.com/cricketers/mitchell-santner-502714
Ish Sodhi,New Zealand,https://www.espncricinfo.com/cricketers/ish-sodhi-559066
KL Rahul,India,https://www.espncricinfo.com/cricketers/kl-rahul-422108
Rohit Sharma(c),India,https://www.espncricinfo.com/cricketers/rohit-sharma-34102
Virat Kohli,India,https://www.espncricinfo.com/cricketers/virat-kohli-253802
Suryakumar Yadav,India,https://www.espncricinfo.com/cricketers/suryakumar-yadav-446507
Rishabh Pant†,India,https://www.espncricinfo.com/cricketers/rishabh-pant-931581
Hardik Pandya,India,https://www.espncricinfo.com/cricketers/hardik-pandya-625371
Axar Patel,India,https://www.espncricinfo.com/cricketers/axar-patel-554691
Wessly Madhevere,Zimbabwe,https://www.espncricinfo.com/cricketers/wessly-madhevere-938959
Craig Ervine(c),Zimbabwe,https://www.espncricinfo.com/cricketers/craig-ervine-55412
Regis Chakabva†,Zimbabwe,https://www.espncricinfo.com/cricketers/regis-chakabva-293831
Sean Williams,Zimbabwe,https://www.espncricinfo.com/cricketers/sean-williams-55870
Sikandar Raza,Zimbabwe,https://www.espncricinfo.com/cricketers/sikandar-raza-299572
