,match,teamInnings,battingPos,batsmanName,dismissal,runs,balls,4s,6s,SR
0,Pakistan Vs England,Pakistan,1,Mohammad Rizwan †,b Curran,15,14,0,1,107.14
1,Pakistan Vs England,Pakistan,3,Babar Azam (c),c & b Rashid,32,28,2,0,114.28
2,Pakistan Vs England,Pakistan,5,Mohammad Haris,c Stokes b Rashid,8,12,1,0,66.66
3,Pakistan Vs England,Pakistan,7,Shan Masood,c Livingstone b Curran,38,28,2,1,135.71
4,Pakistan Vs England,Pakistan,9,Iftikhar Ahmed,c †Buttler b Stokes,0,6,0,0,0.00
5,Pakistan Vs England,Pakistan,11,Shadab Khan,c Woakes b Jordan,20,14,2,0,142.85
6,Pakistan Vs England,Pakistan,13,Mohammad Nawaz,c Livingstone b Curran,5,7,0,0,71.42
7,Pakistan Vs England,Pakistan,15,Mohammad Wasim,c Livingstone b Jordan,4,8,0,0,50.00
8,Pakistan Vs England,Pakistan,17,Shaheen Shah Afridi,Not Out,5,3,1,0,166.66
9,Pakistan Vs England,Pakistan,18,Haris Rauf,Not Out,1,1,0,0,100.00
10,Pakistan Vs England,England,1,Jos Buttler (c)†,c †Mohammad Rizwan b Haris Rauf,26,17,3,1,152.94
11,Pakistan Vs England,England,3,Alex Hales,b Shaheen Shah Afridi,1,2,0,0,50.00
12,Pakistan Vs England,England,5,Phil Salt,c Iftikhar Ahmed b Haris Rauf,10,9,2,0,111.11
13,Pakistan Vs England,England,7,Ben Stokes,Not Out,52,49,5,1,106.12
14,Pakistan Vs England,England,8,Harry Brook,c Shaheen Shah Afridi b Shadab Khan,20,23,1,0,86.95
15,Pakistan Vs England,England,10,Moeen Ali,b Mohammad Wasim,19,13,3,0,146.15
16,Pakistan Vs England,England,12,Liam Livingstone,Not Out,1,1,0,0,100.00
17,India Vs England,India,1,KL Rahul,c †Buttler b Woakes,5,5,1,0,100.00
18,India Vs England,India,3,Rohit Sharma (c),c Curran b Jordan,27,28,4,0,96.42
19,India Vs England,India,5,Virat Kohli,c Rashid b Jordan,50,40,4,1,125.00
20,India Vs England,India,7,Suryakumar Yadav,c Salt b Rashid,14,10,1,1,140.00
21,India Vs England,India,9,Hardik Pandya,hit wicket b Jordan,63,33,4,5,190.90
22,India Vs England,India,11,Rishabh Pant †,run out (†Buttler/Jordan),6,4,1,0,150.00
23,India Vs England,India,13,Ravichandran Ashwin,Not Out,0,0,0,0,-
24,India Vs England,England,1,Jos Buttler (c)†,Not Out,80,49,9,3,163.26
25,India Vs England,England,2,Alex Hales,Not Out,86,47,4,7,182.97
26,New Zealand Vs Pakistan,New Zealand,1,Finn Allen,lbw b Shaheen Shah Afridi,4,3,1,0,133.33
27,New Zealand Vs Pakistan,New Zealand,3,Devon Conway †,run out (Shadab Khan),21,20,3,0,105.00
28,New Zealand Vs Pakistan,New Zealand,5,Kane Williamson (c),b Shaheen Shah Afridi,46,42,1,1,109.52
29,New Zealand Vs Pakistan,New Zealand,7,Glenn Phillips,c & b Mohammad Nawaz,6,8,1,0,75.00
30,New Zealand Vs Pakistan,New Zealand,9,Daryl Mitchell,Not Out,53,35,3,1,151.42
31,New Zealand Vs Pakistan,New Zealand,10,James Neesham,Not Out,16,12,1,0,133.33
32,New Zealand Vs Pakistan,Pakistan,1,Mohammad Rizwan †,c Phillips b Boult,57,43,5,0,132.55
33,New Zealand Vs Pakistan,Pakistan,3,Babar Azam (c),c Mitchell b Boult,53,42,7,0,126.19
34,New Zealand Vs Pakistan,Pakistan,5,Mohammad Haris,c Allen b Santner,30,26,2,1,115.38
35,New Zealand Vs Pakistan,Pakistan,7,Shan Masood,Not Out,3,4,0,0,75.00
36,New Zealand Vs Pakistan,Pakistan,8,Iftikhar Ahmed,Not Out,0,0,0,0,-
37,India Vs Zimbabwe,India,1,KL Rahul,c Masakadza b Sikandar Raza,51,35,3,3,145.71
38,India Vs Zimbabwe,India,3,Rohit Sharma (c),c Masakadza b Muzarabani,15,13,2,0,115.38
39,India Vs Zimbabwe,India,5,Virat Kohli,c Burl b Williams,26,25,2,0,104.00
40,India Vs Zimbabwe,India,7,Suryakumar Yadav,Not Out,61,25,6,4,244.00
41,India Vs Zimbabwe,India,8,Rishabh Pant †,c Burl b Williams,3,5,0,0,60.00
42,India Vs Zimbabwe,India,10,Hardik Pandya,c Muzarabani b Ngarava,18,18,2,0,100.00
43,India Vs Zimbabwe,India,12,Axar Patel,Not Out,0,0,0,0,-
44,India Vs Zimbabwe,Zimbabwe,1,Wessly Madhevere,c Kohli b Kumar,0,1,0,0,0.00
45,India Vs Zimbabwe,Zimbabwe,3,Craig Ervine (c),c & b Pandya,13,15,2,0,86.66
46,India Vs Zimbabwe,Zimbabwe,5,Regis Chakabva †,b Arshdeep Singh,0,6,0,0,0.00
47,India Vs Zimbabwe,Zimbabwe,7,Sean Williams,c Kumar b Mohammed Shami,11,18,0,1,61.11
48,India Vs Zimbabwe,Zimbabwe,9,Sikandar Raza,c Yadav b Pandya,34,24,3,0,141.66
49,India Vs Zimbabwe,Zimbabwe,11,Tony Munyonga,lbw b Mohammed Shami,5,4,1,0,125.00
50,India Vs Zimbabwe,Zimbabwe,13,Ryan Burl,b Ashwin,35,22,5,1,159.09
51,India Vs Zimbabwe,Zimbabwe,15,Wellington Masakadza,c Sharma b Ashwin,1,7,0,0,14.28
52,India Vs Zimbabwe,Zimbabwe,17,Richard Ngarava,b Ashwin,1,2,0,0,50.00
53,India Vs Zimbabwe,Zimbabwe,19,Tendai Chatara,c & b Patel,4,4,1,0,100.00
54,India Vs Zimbabwe,Zimbabwe,21,Blessing Muzarabani,Not Out,0,2,0,0,0.00
55,Bangladesh Vs Pakistan,Bangladesh,1,Najmul Hossain Shanto,b Iftikhar Ahmed,54,48,7,0,112.50
56,Bangladesh Vs Pakistan,Bangladesh,3,Litton Das,c Shan Masood b Shaheen Shah Afridi,10,8,0,1,125.00
57,Bangladesh Vs Pakistan,Bangladesh,5,Soumya Sarkar,c Shan Masood b Shadab Khan,20,17,1,1,117.64
58,Bangladesh Vs Pakistan,Bangladesh,7,Shakib Al Hasan (c),lbw b Shadab Khan,0,1,0,0,0.00
59,Bangladesh Vs Pakistan,Bangladesh,9,Afif Hossain,Not Out,24,20,3,0,120.00
60,Bangladesh Vs Pakistan,Bangladesh,10,Mosaddek Hossain,b Shaheen Shah Afridi,5,11,0,0,45.45
61,Bangladesh Vs Pakistan,Bangladesh,12,Nurul Hasan †,c Mohammad Haris b Shaheen Shah Afridi,0,3,0,0,0.00
62,Bangladesh Vs Pakistan,Bangladesh,14,Taskin Ahmed,c Babar Azam b Shaheen Shah Afridi,1,5,0,0,20.00
63,Bangladesh Vs Pakistan,Bangladesh,16,Nasum Ahmed,c Mohammad Wasim b Haris Rauf,7,6,1,0,116.66
64,Bangladesh Vs Pakistan,Bangladesh,18,Mustafizur Rahman,Not Out,0,1,0,0,0.00
65,Bangladesh Vs Pakistan,Pakistan,1,Mohammad Rizwan †,c Najmul Hossain Shanto b Ebadot Hossain,32,32,2,1,100.00
66,Bangladesh Vs Pakistan,Pakistan,3,Babar Azam (c),c Mustafizur Rahman b Nasum Ahmed,25,33,2,0,75.75
67,Bangladesh Vs Pakistan,Pakistan,5,Mohammad Nawaz,run out (Litton Das),4,11,0,0,36.36
68,Bangladesh Vs Pakistan,Pakistan,7,Mohammad Haris,c Nasum Ahmed b Shakib Al Hasan,31,18,1,2,172.22
69,Bangladesh Vs Pakistan,Pakistan,9,Shan Masood,Not Out,24,14,2,0,171.42
70,Bangladesh Vs Pakistan,Pakistan,10,Iftikhar Ahmed,c Najmul Hossain Shanto b Mustafizur Rahman,1,3,0,0,33.33
71,Bangladesh Vs Pakistan,Pakistan,12,Shadab Khan,Not Out,0,0,0,0,-
72,Netherlands Vs South Africa,Netherlands,1,Stephan Myburgh,c Rossouw b Markram,37,30,7,0,123.33
73,Netherlands Vs South Africa,Netherlands,3,Max O'Dowd,c Rabada b Maharaj,29,31,1,1,93.54
74,Netherlands Vs South Africa,Netherlands,5,Tom Cooper,c †de Kock b Maharaj,35,19,2,2,184.21
75,Netherlands Vs South Africa,Netherlands,7,Colin Ackermann,Not Out,41,26,3,2,157.69
76,Netherlands Vs South Africa,Netherlands,8,Bas de Leede,b Nortje,1,7,0,0,14.28
77,Netherlands Vs South Africa,Netherlands,10,Scott Edwards (c)†,Not Out,12,7,2,0,171.42
78,Netherlands Vs South Africa,South Africa,1,Quinton de Kock †,c †Edwards b Klaassen,13,13,1,1,100.00
79,Netherlands Vs South Africa,South Africa,3,Temba Bavuma (c),b van Meekeren,20,20,2,0,100.00
80,Netherlands Vs South Africa,South Africa,5,Rilee Rossouw,c O'Dowd b Glover,25,19,2,0,131.57
81,Netherlands Vs South Africa,South Africa,7,Aiden Markram,c Myburgh b Klaassen,17,13,2,0,130.76
82,Netherlands Vs South Africa,South Africa,9,David Miller,c van der Merwe b Glover,17,17,1,0,100.00
83,Netherlands Vs South Africa,South Africa,11,Heinrich Klaasen,c van Beek b de Leede,21,18,0,1,116.66
84,Netherlands Vs South Africa,South Africa,13,Wayne Parnell,c †Edwards b Glover,0,2,0,0,0.00
85,Netherlands Vs South Africa,South Africa,15,Keshav Maharaj,c O'Dowd b de Leede,13,12,0,1,108.33
86,Netherlands Vs South Africa,South Africa,17,Kagiso Rabada,Not Out,9,8,0,0,112.50
87,Netherlands Vs South Africa,South Africa,18,Anrich Nortje,Not Out,4,1,1,0,400.00
88,Sri Lanka Vs England,Sri Lanka,1,Pathum Nissanka,c sub (CJ Jordan) b Rashid,67,45,2,5,148.88
89,Sri Lanka Vs England,Sri Lanka,3,Kusal Mendis †,c Livingstone b Woakes,18,14,1,1,128.57
90,Sri Lanka Vs England,Sri Lanka,5,Dhananjaya de Silva,c Stokes b Curran,9,11,0,0,81.81
91,Sri Lanka Vs England,Sri Lanka,7,Charith Asalanka,c Malan b Stokes,8,9,0,0,88.88
92,Sri Lanka Vs England,Sri Lanka,9,Bhanuka Rajapaksa,c Curran b Wood,22,22,3,0,100.00
93,Sri Lanka Vs England,Sri Lanka,11,Dasun Shanaka (c),c †Buttler b Wood,3,8,0,0,37.50
94,Sri Lanka Vs England,Sri Lanka,13,Wanindu Hasaranga,run out (†Buttler/Wood),9,9,1,0,100.00
95,Sri Lanka Vs England,Sri Lanka,15,Chamika Karunaratne,c Hales b Wood,0,2,0,0,0.00
96,Sri Lanka Vs England,Sri Lanka,17,Maheesh Theekshana,Not Out,0,0,0,0,-
97,Sri Lanka Vs England,England,1,Jos Buttler (c)†,c Karunaratne b Hasaranga,28,23,2,1,121.73
98,Sri Lanka Vs England,England,3,Alex Hales,c & b Hasaranga,47,30,7,1,156.66
99,Sri Lanka Vs England,England,5,Ben Stokes,Not Out,42,36,2,0,116.66
100,Sri Lanka Vs England,England,6,Harry Brook,c & b de Silva,4,5,0,0,80.00
101,Sri Lanka Vs England,England,8,Liam Livingstone,c de Silva b Kumara,4,6,0,0,66.66
102,Sri Lanka Vs England,England,10,Moeen Ali,c Shanaka b de Silva,1,5,0,0,20.00
103,Sri Lanka Vs England,England,12,Sam Curran,c Rajitha b Kumara,6,11,0,0,54.54
104,Sri Lanka Vs England,England,14,Chris Woakes,Not Out,5,3,1,0,166.66
105,Australia Vs Afghanistan,Australia,1,David Warner,b Naveen-ul-Haq,25,18,5,0,138.88
106,Australia Vs Afghanistan,Australia,3,Cameron Green,c Gulbadin Naib b Fazalhaq Farooqi,3,2,0,0,150.00
107,Australia Vs Afghanistan,Australia,5,Mitchell Marsh,c †Rahmanullah Gurbaz b Mujeeb Ur Rahman,45,30,3,2,150.00
108,Australia Vs Afghanistan,Australia,7,Steven Smith,lbw b Naveen-ul-Haq,4,4,1,0,100.00
109,Australia Vs Afghanistan,Australia,9,Marcus Stoinis,c Usman Ghani b Rashid Khan,25,21,0,2,119.04
110,Australia Vs Afghanistan,Australia,11,Glenn Maxwell,Not Out,54,32,6,2,168.75
111,Australia Vs Afghanistan,Australia,12,Matthew Wade (c)†,b Fazalhaq Farooqi,6,8,1,0,75.00
112,Australia Vs Afghanistan,Australia,14,Pat Cummins,c Rashid Khan b Naveen-ul-Haq,0,2,0,0,0.00
113,Australia Vs Afghanistan,Australia,16,Kane Richardson,run out (Naveen-ul-Haq),1,1,0,0,100.00
114,Australia Vs Afghanistan,Australia,18,Adam Zampa,Not Out,1,1,0,0,100.00
115,Australia Vs Afghanistan,Afghanistan,1,Rahmanullah Gurbaz †,c Warner b Richardson,30,17,2,2,176.47
116,Australia Vs Afghanistan,Afghanistan,3,Usman Ghani,c Cummins b Hazlewood,2,7,0,0,28.57
117,Australia Vs Afghanistan,Afghanistan,5,Ibrahim Zadran,c Marsh b Zampa,26,33,2,0,78.78
118,Australia Vs Afghanistan,Afghanistan,7,Gulbadin Naib,run out (Maxwell),39,23,3,2,169.56
119,Australia Vs Afghanistan,Afghanistan,9,Mohammad Nabi (c),c Warner b Hazlewood,1,2,0,0,50.00
120,Australia Vs Afghanistan,Afghanistan,11,Najibullah Zadran,c Maxwell b Zampa,0,2,0,0,0.00
121,Australia Vs Afghanistan,Afghanistan,13,Darwish Rasooli,run out (†Wade/Stoinis),15,13,1,0,115.38
122,Australia Vs Afghanistan,Afghanistan,15,Rashid Khan,Not Out,48,23,3,4,208.69
123,Australia Vs Afghanistan,Afghanistan,16,Naveen-ul-Haq,Not Out,0,0,0,0,-
124,New Zealand Vs Ireland,New Zealand,1,Finn Allen,c Hand b Adair,32,18,5,1,177.77
125,New Zealand Vs Ireland,New Zealand,3,Devon Conway †,c Adair b Delany,28,33,2,0,84.84
126,New Zealand Vs Ireland,New Zealand,5,Kane Williamson (c),c Delany b Little,61,35,5,3,174.28
127,New Zealand Vs Ireland,New Zealand,7,Glenn Phillips,c Dockrell b Delany,17,9,2,1,188.88
128,New Zealand Vs Ireland,New Zealand,9,Daryl Mitchell,Not Out,31,21,2,0,147.61
129,New Zealand Vs Ireland,New Zealand,10,James Neesham,lbw b Little,0,1,0,0,0.00
130,New Zealand Vs Ireland,New Zealand,12,Mitchell Santner,lbw b Little,0,1,0,0,0.00
131,New Zealand Vs Ireland,New Zealand,14,Tim Southee,Not Out,1,2,0,0,50.00
132,New Zealand Vs Ireland,Ireland,1,Paul Stirling,b Sodhi,37,27,3,1,137.03
133,New Zealand Vs Ireland,Ireland,3,Andy Balbirnie (c),b Santner,30,25,0,3,120.00
134,New Zealand Vs Ireland,Ireland,5,Lorcan Tucker †,c Allen b Sodhi,13,14,0,0,92.85
135,New Zealand Vs Ireland,Ireland,7,Harry Tector,c Southee b Santner,2,7,0,0,28.57
136,New Zealand Vs Ireland,Ireland,9,Gareth Delany,c †Conway b Ferguson,10,8,2,0,125.00
137,New Zealand Vs Ireland,Ireland,11,George Dockrell,c Williamson b Ferguson,23,15,3,0,153.33
138,New Zealand Vs Ireland,Ireland,13,Curtis Campher,c Allen b Southee,7,7,1,0,100.00
139,New Zealand Vs Ireland,Ireland,15,Fionn Hand,c & b Ferguson,5,3,1,0,166.66
140,New Zealand Vs Ireland,Ireland,17,Mark Adair,c Phillips b Southee,4,5,0,0,80.00
141,New Zealand Vs Ireland,Ireland,19,Barry McCarthy,Not Out,6,5,0,0,120.00
142,New Zealand Vs Ireland,Ireland,20,Josh Little,Not Out,8,4,0,1,200.00
