,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
0,Pakistan Vs England,England,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1
1,Pakistan Vs England,England,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0
2,Pakistan Vs England,England,Sam Curran,4,0,12,3,3.00,15,0,0,0,0
3,Pakistan Vs England,England,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0
4,Pakistan Vs England,England,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0
5,Pakistan Vs England,England,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0
6,Pakistan Vs England,Pakistan,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0
7,Pakistan Vs England,Pakistan,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0
8,Pakistan Vs England,Pakistan,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0
9,Pakistan Vs England,Pakistan,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0
10,Pakistan Vs England,Pakistan,Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0
11,Pakistan Vs England,Pakistan,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0
12,India Vs England,England,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0
13,India Vs England,England,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0
14,India Vs England,England,Sam Curran,4,0,42,0,10.50,9,5,2,0,0
15,India Vs England,England,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0
16,India Vs England,England,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0
17,India Vs England,England,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0
18,India Vs England,India,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0
19,India Vs England,India,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0
20,India Vs England,India,Axar Patel,4,0,30,0,7.50,10,2,2,0,0
21,India Vs England,India,Mohammed Shami,3,0,39,0,13.00,7,4,3,0,0
22,India Vs England,India,Ravichandran Ashwin,2,0,27,0,13.50,1,1,2,1,0
23,India Vs England,India,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0
24,New Zealand Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0
25,New Zealand Vs Pakistan,Pakistan,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0
26,New Zealand Vs Pakistan,Pakistan,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0
27,New Zealand Vs Pakistan,Pakistan,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0
28,New Zealand Vs Pakistan,Pakistan,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0
29,New Zealand Vs Pakistan,Pakistan,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0
30,New Zealand Vs Pakistan,New Zealand,Trent Boult,4,0,33,2,8.25,9,5,0,0,0
31,New Zealand Vs Pakistan,New Zealand,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0
32,New Zealand Vs Pakistan,New Zealand,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0
33,New Zealand Vs Pakistan,New Zealand,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0
34,New Zealand Vs Pakistan,New Zealand,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0
35,India Vs Zimbabwe,Zimbabwe,Richard Ngarava,4,1,44,1,11.00,12,2,4,1,1
36,India Vs Zimbabwe,Zimbabwe,Tendai Chatara,4,0,34,0,8.50,5,3,1,0,0
37,India Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,50,1,12.50,5,8,0,1,0
38,India Vs Zimbabwe,Zimbabwe,Wellington Masakadza,2,0,12,0,6.00,5,1,0,1,0
39,India Vs Zimbabwe,Zimbabwe,Ryan Burl,1,0,14,0,14.00,1,1,1,0,0
40,India Vs Zimbabwe,Zimbabwe,Sikandar Raza,3,0,18,1,6.00,5,0,1,0,0
41,India Vs Zimbabwe,Zimbabwe,Sean Williams,2,0,9,2,4.50,6,0,0,2,0
42,India Vs Zimbabwe,India,Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,1,0
43,India Vs Zimbabwe,India,Arshdeep Singh,2,0,9,1,4.50,9,1,0,2,0
44,India Vs Zimbabwe,India,Mohammed Shami,2,0,14,2,7.00,7,1,1,0,0
45,India Vs Zimbabwe,India,Hardik Pandya,3,0,16,2,5.33,10,1,0,2,1
46,India Vs Zimbabwe,India,Ravichandran Ashwin,4,0,22,3,5.50,13,3,0,1,0
47,India Vs Zimbabwe,India,Axar Patel,3.2,0,40,1,12.00,4,5,1,0,0
48,Bangladesh Vs Pakistan,Pakistan,Shaheen Shah Afridi,4,0,22,4,5.50,13,2,1,0,0
49,Bangladesh Vs Pakistan,Pakistan,Naseem Shah,3,0,15,0,5.00,9,2,0,0,0
50,Bangladesh Vs Pakistan,Pakistan,Mohammad Wasim,2,0,19,0,9.50,5,1,1,1,0
51,Bangladesh Vs Pakistan,Pakistan,Haris Rauf,4,0,21,1,5.25,11,2,0,0,0
52,Bangladesh Vs Pakistan,Pakistan,Shadab Khan,4,0,30,2,7.50,8,3,0,0,0
53,Bangladesh Vs Pakistan,Pakistan,Iftikhar Ahmed,3,0,15,1,5.00,9,2,0,0,0
54,Bangladesh Vs Pakistan,Bangladesh,Taskin Ahmed,3,0,26,0,8.66,10,1,2,0,1
55,Bangladesh Vs Pakistan,Bangladesh,Nasum Ahmed,4,0,14,1,3.50,13,0,0,2,0
56,Bangladesh Vs Pakistan,Bangladesh,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0
57,Bangladesh Vs Pakistan,Bangladesh,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0
58,Bangladesh Vs Pakistan,Bangladesh,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1
59,Netherlands Vs South Africa,South Africa,Wayne Parnell,4,0,32,0,8.00,10,2,2,1,0
60,Netherlands Vs South Africa,South Africa,Kagiso Rabada,3,0,37,0,12.33,6,7,0,0,0
61,Netherlands Vs South Africa,South Africa,Lungi Ngidi,3,0,35,0,11.66,3,5,0,0,0
62,Netherlands Vs South Africa,South Africa,Anrich Nortje,4,0,10,1,2.50,14,0,0,0,0
63,Netherlands Vs South Africa,South Africa,Keshav Maharaj,4,0,27,2,6.75,12,1,2,0,0
64,Netherlands Vs South Africa,South Africa,Aiden Markram,2,0,16,1,8.00,3,0,1,1,0
65,Netherlands Vs South Africa,Netherlands,Fred Klaassen,4,0,20,2,5.00,15,3,0,0,0
66,Netherlands Vs South Africa,Netherlands,Paul van Meekeren,3,0,33,1,11.00,5,1,2,1,1
67,Netherlands Vs South Africa,Netherlands,Colin Ackermann,3,0,16,0,5.33,6,1,0,0,0
68,Netherlands Vs South Africa,Netherlands,Roelof van der Merwe,2,0,19,0,9.50,2,2,0,0,0
69,Netherlands Vs South Africa,Netherlands,Brandon Glover,2,0,9,3,4.50,5,0,0,1,0
70,Netherlands Vs South Africa,Netherlands,Logan van Beek,3,0,23,0,7.66,4,1,1,0,0
71,Netherlands Vs South Africa,Netherlands,Bas de Leede,3,0,25,2,8.33,4,1,0,1,2
72,Sri Lanka Vs England,England,Ben Stokes,3,0,24,1,8.00,8,1,2,0,0
73,Sri Lanka Vs England,England,Chris Woakes,3,0,24,1,8.00,5,3,0,1,0
74,Sri Lanka Vs England,England,Mark Wood,3,0,26,3,8.66,8,1,2,1,0
75,Sri Lanka Vs England,England,Sam Curran,4,0,27,1,6.75,10,2,1,0,0
76,Sri Lanka Vs England,England,Adil Rashid,4,0,16,1,4.00,11,0,0,0,0
77,Sri Lanka Vs England,England,Liam Livingstone,2,0,16,0,8.00,2,0,1,0,0
78,Sri Lanka Vs England,England,Moeen Ali,1,0,5,0,5.00,1,0,0,0,0
79,Sri Lanka Vs England,Sri Lanka,Maheesh Theekshana,4,0,22,0,5.50,11,1,0,1,0
80,Sri Lanka Vs England,Sri Lanka,Kasun Rajitha,3,0,40,0,13.33,4,5,1,2,0
81,Sri Lanka Vs England,Sri Lanka,Lahiru Kumara,3.4,0,24,2,6.54,11,3,0,0,1
82,Sri Lanka Vs England,Sri Lanka,Wanindu Hasaranga,4,0,23,2,5.75,11,1,1,0,0
83,Sri Lanka Vs England,Sri Lanka,Dhananjaya de Silva,4,0,24,2,6.00,7,1,0,0,0
84,Sri Lanka Vs England,Sri Lanka,Charith Asalanka,1,0,8,0,8.00,1,1,0,0,0
85,Australia Vs Afghanistan,Afghanistan,Fazalhaq Farooqi,4,0,29,2,7.25,13,4,1,0,0
86,Australia Vs Afghanistan,Afghanistan,Mujeeb Ur Rahman,4,0,42,1,10.50,5,4,1,1,0
87,Australia Vs Afghanistan,Afghanistan,Naveen-ul-Haq,4,0,21,3,5.25,11,2,0,0,0
88,Australia Vs Afghanistan,Afghanistan,Gulbadin Naib,3,0,31,0,10.33,6,3,2,0,0
89,Australia Vs Afghanistan,Afghanistan,Rashid Khan,4,0,29,1,7.25,9,2,1,1,0
90,Australia Vs Afghanistan,Afghanistan,Mohammad Nabi,1,0,14,0,14.00,1,1,1,0,0
91,Australia Vs Afghanistan,Australia,Josh Hazlewood,4,0,33,2,8.25,13,2,3,0,0
92,Australia Vs Afghanistan,Australia,Pat Cummins,4,0,22,0,5.50,12,2,0,0,0
93,Australia Vs Afghanistan,Australia,Marcus Stoinis,2,0,26,0,13.00,2,2,1,2,0
94,Australia Vs Afghanistan,Australia,Kane Richardson,4,0,48,1,12.00,4,3,3,1,0
95,Australia Vs Afghanistan,Australia,Adam Zampa,4,0,22,2,5.50,11,1,0,0,0
96,Australia Vs Afghanistan,Australia,Cameron Green,2,0,13,0,6.50,7,1,1,0,0
97,New Zealand Vs Ireland,Ireland,Josh Little,4,0,22,3,5.50,10,2,0,1,0
98,New Zealand Vs Ireland,Ireland,Mark Adair,4,0,39,1,9.75,9,3,1,3,0
99,New Zealand Vs Ireland,Ireland,Barry McCarthy,4,0,46,0,11.50,4,4,2,0,0
100,New Zealand Vs Ireland,Ireland,Gareth Delany,4,0,30,2,7.50,11,3,1,1,0
101,New Zealand Vs Ireland,Ireland,Fionn Hand,2,0,22,0,11.00,2,2,1,0,0
